	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	group	group1	group2
T.T1CK.1	0.003651219	-0.211168883	0.065287616	-0.17657195	-0.083480251	0.109136095	0.107278592	0.035628211	-0.014016771	0.029438751	-0.013384979	-0.031144468	0.024414065	-0.0119209	0.003799812	0.017971269	0.005548922	0.013985062	0.00255006	-0.021268773	0.018917158	0.004302192	0.029857789	-0.006296686	-0.000750555	0.00421045	0.016465053	-0.009392699	0.010266637	-0.018389111	0.027412757	-0.002108286	-0.012698951	-0.009521924	-0.021397009	0.013976121	-0.01797675	0.02495184	-0.002333795	-0.001499597	0.003220907	0.025861792	0.01447875	-0.013892247	0.013244415	0.009860355	-0.011415842	-0.001471066	0.007120868	-0.000509999	T1CK	T1	CK
T.T1CK.2	-0.0173757	-0.227057102	0.093877946	-0.183550564	-0.057127069	0.110299059	0.095594463	0.030753761	-0.014584396	0.015504887	-0.014450644	-0.0190992	-0.000616968	-0.01458272	0.001129242	-0.008923375	0.025262501	-0.009059925	-0.006918578	0.019888044	-0.016108513	0.005347511	-0.00647301	-0.000263799	-0.003165002	-0.002254381	-0.003752949	0.012490684	-0.017030564	-0.00450406	-0.016776457	0.011032876	-0.038847331	0.00067891	0.011018474	-0.003465588	0.001983904	-0.039207337	0.009345984	0.011899993	0.003411299	-0.012632323	-0.023850777	0.005406712	0.013088289	-0.020071184	0.007956738	0.004415729	0.000691955	0.001291908	T1CK	T1	CK
T.T1CK.3	-0.002602188	-0.22088328	0.095502277	-0.19727905	-0.050859655	0.124779144	0.082997638	0.052306779	-0.016444914	-0.000685337	0.015821115	0.012955128	-0.002580878	0.012122061	0.017598442	-0.014810508	-0.009706153	-0.017455815	0.007051939	-0.019099983	-0.016799585	-0.004466881	-0.023622195	0.007470635	-0.003647911	0.004055536	-0.005431575	-0.007517655	0.006428373	0.018254908	-0.014369043	-0.013774848	0.044235373	0.013370501	0.007967829	-0.010513593	0.009458672	0.016034888	-0.006592346	-0.010027111	-0.003251937	-0.015184536	0.011136561	0.004523691	-0.030030709	0.00113729	0.004774297	-0.005432859	-0.007710959	-0.001650931	T1CK	T1	CK
T.T1CK.4	0.105248041	-0.083454665	0.051413884	-0.338016389	0.094437266	-0.381449219	-0.011792729	-0.000952272	-0.029983812	-0.008736452	-0.005070851	-0.002206861	0.003422161	0.000629761	-0.003264526	0.008228478	0.001302307	0.002433731	-0.000201933	0.0033025	0.003958736	5.93E-05	0.001342408	0.003484729	-0.004847397	-0.004013034	0.001224532	-0.000372934	0.003312502	0.000522205	-0.000157596	2.39E-05	-0.000560391	0.001559597	-0.000857922	0.000998608	8.18E-05	0.000653413	-0.000262495	6.50E-05	-0.000237619	-7.83E-05	0.000252592	-0.000332831	-0.001175135	0.000293921	0.000762189	-0.000201812	-0.000131537	0.000279384	T1CK	T1	CK
T.T2CK.1	0.081556122	-0.271772073	-0.076026382	0.008387386	-0.081296686	0.018538045	-0.099436354	0.026170342	-0.03573295	-0.048219762	0.027458475	0.021441799	-0.040985478	0.069891911	0.032143576	0.036935464	-0.012587046	0.004627282	-0.031368691	0.025747915	-0.001219354	0.009037777	0.009089293	-0.002252827	0.018297296	0.002661711	0.000568894	0.024191289	-0.000370576	-0.009968584	0.009941823	-0.013088463	-0.003192364	0.007651933	0.010715389	0.033582934	-0.006992485	-0.007169336	-0.009142075	-0.016417862	-0.003466985	0.000685589	-0.007307585	0.013450871	0.003174155	0.018868775	-0.003387146	0.011868116	-0.004760584	0.001197068	T2CK	T2	CK
T.T2CK.2	0.159837297	-0.218152135	-0.1372746	0.031879409	-0.125591784	-0.034456529	-0.103821987	-0.027113823	0.076783697	0.013166428	0.003075671	-0.009431351	0.042324958	-0.002306254	-0.018698614	-0.023357178	0.024294973	-0.027988397	0.015463719	-0.002996114	-0.027291763	-0.022731386	0.014828634	0.009245721	-0.009186231	-0.010518165	-0.004642001	0.007857382	-0.004113013	-0.014156335	0.002422	-0.009183359	-0.003136229	-0.014186996	-0.011631592	0.018401184	0.022830871	0.037485568	-0.010271223	-0.001631038	-0.003653211	-0.009375305	7.75E-05	-0.002390492	-0.005638581	-0.024111652	0.008237569	0.008408895	0.003134265	-0.001262169	T2CK	T2	CK
T.T2CK.3	0.13094599	-0.195829871	-0.110245977	0.002121767	-0.095093279	-0.017375977	-0.116393026	-0.029709869	0.056189103	0.059117999	0.016197774	0.010229886	0.010217754	-0.024749396	0.006933495	-0.031051803	-0.014376785	0.000635144	0.050576323	-0.03133893	0.008429243	0.024526778	-0.048708261	-0.038885884	-0.019298738	-0.002548181	0.00432004	-0.024145809	0.024598272	-0.018100949	-0.012419853	-0.00156087	-0.005618331	0.00203137	0.006238764	0.00530455	-0.025272783	-0.017631395	0.009246893	0.017841516	-0.008330218	0.000229647	-0.005378118	0.004539322	0.003787994	0.010741353	-0.005437516	-0.005498377	-0.004086815	0.000521903	T2CK	T2	CK
T.T2CK.4	0.118450793	-0.247251462	-0.121988075	0.016342819	-0.133451981	-0.02754107	-0.087395473	-0.010559214	0.044711923	0.012206518	-0.010649587	-0.029339565	0.028958442	-0.000388978	0.010605602	0.000180855	-0.006387023	0.02601026	-0.020546621	0.006317489	-0.003674775	-0.021494368	0.01060943	0.019886995	0.024797155	0.016871772	-0.007053779	0.00884633	-0.01478026	0.03650798	0.014151053	0.024385132	0.023141859	0.004362618	0.004418868	-0.045946072	0.010099364	-0.025217627	0.013453824	-0.008444203	0.015874308	0.012892594	0.009479465	-0.003475252	0.005768748	0.002347155	-0.006245261	-0.003871271	0.00338249	0.000468571	T2CK	T2	CK
T.T2B.1	0.389411515	0.051084306	0.051660458	0.01156647	0.006275487	-0.008928089	0.088219515	-0.042523489	0.042323791	0.023245975	0.028156669	0.099779438	0.00026804	0.035413767	-0.04944689	0.061698866	-0.01007794	-0.039626851	0.045880386	-0.043878392	-0.017431058	0.002072086	0.006841546	-0.002720924	0.020682539	0.03864455	-0.002857299	0.001031881	-0.026520273	0.008289582	-0.012572152	-0.002064586	0.002051572	-0.0042286	-0.007243861	-0.002409348	0.001505543	-0.006220004	0.006143063	-0.003329171	0.003126772	-0.002478522	-0.002411577	0.000926074	0.010193064	0.008000929	0.005299313	0.003632945	0.004187437	0.001282947	T2B	T2	B
T.T2B.2	0.379190204	0.079631535	0.098670868	-0.073280447	0.083887512	0.063719636	-0.049016648	-0.064337822	0.062410731	0.066927126	0.070808776	0.074456582	-0.046871955	-0.001554713	0.037209945	0.0065536	0.000531505	0.025308634	-0.021841702	0.014031257	0.015246621	0.009383017	0.045932208	0.026182648	-0.016592855	-0.009764242	-0.006699102	-0.007758323	0.005799118	0.00035747	0.006017895	0.00641242	-0.015252063	0.003112657	0.00039627	-0.00876563	-0.007981512	-0.000195052	0.001498121	0.002932187	-0.000515069	0.004470855	0.011991099	0.001020977	-0.003477946	-0.018177381	-0.010166853	0.000151136	-0.006735001	-0.003267049	T2B	T2	B
T.T2B.3	0.384009059	0.058488943	0.02309835	0.00912312	-0.025617516	-0.012346133	0.093050163	-0.025448603	0.078814679	-0.030451928	0.118841663	-0.030852358	-0.017092905	-0.005354875	-0.004566316	-0.024238531	-0.0203413	0.008102899	-0.012827083	0.024824672	0.002163438	-0.01618668	-0.019715988	0.004353677	-0.007442438	-0.019541948	0.003883637	0.011447145	0.000861014	-0.001338925	-0.001326409	-0.005077454	0.006273373	0.006725531	0.006240359	0.002927391	0.005745642	0.012298216	0.000178275	-0.011907024	-0.004196067	-0.001557946	-0.019584847	-0.001968999	-0.000277803	0.01604331	-0.000329299	-0.008495578	0.007364092	0.002916585	T2B	T2	B
T.T2B.4	0.363133207	0.094140848	0.117657624	-0.086847252	0.103588757	0.088992112	-0.116607336	-0.013206754	-0.008354211	0.023135682	-0.043415437	-0.004291632	0.015461679	0.019132804	-0.021524365	-0.014976668	-0.023806964	0.000679918	-0.028078573	0.018997766	0.008954407	0.000741031	-0.057976447	-0.006986407	0.01893152	0.019668409	0.015055629	-0.000156374	0.006220687	0.0147599	0.01375163	-0.002207526	-0.011176787	-0.019068353	-0.001479557	-0.001286704	0.00312959	-0.001455993	-0.011411666	0.007149715	0.000332992	-0.003692263	0.013957016	-0.007660385	0.00280154	0.011399326	0.015878777	0.00403364	0.004470744	-0.005761386	T2B	T2	B
T.T2J.1	0.432106827	0.126492364	0.005310689	0.05644519	-0.053580195	-0.017428275	0.042966171	0.036934865	0.023353582	-0.072594346	0.03849692	-0.08273953	0.053604789	0.017758843	-0.041399023	0.021277582	-0.019966415	-0.018130117	-0.003913625	0.018292023	0.011328081	0.025944649	0.022918688	-0.011946929	0.001595053	0.006693001	-0.004216078	-0.006458801	0.004110307	0.006082084	7.85E-06	-0.001539946	-0.008241838	-0.003877037	-0.001380053	-0.000174697	-0.011703099	-0.003399364	0.005658907	0.021526605	0.001319314	0.011105048	0.027246253	0.006324858	-0.002278491	-0.006713592	0.010771253	0.00048686	-0.011650658	0.002789229	T2J	T2	J
T.T2J.2	0.444389475	0.132972389	0.052129825	0.009460391	0.020302931	0.028859776	-0.013509839	0.002655474	0.012892673	-0.004914062	-0.050320179	-0.019728931	0.032153997	0.026051997	-0.043397411	0.015032416	0.065958605	-0.011965956	-0.003545073	0.01244544	-0.024838675	-0.035722815	0.007228557	0.00844023	-0.00093793	-0.04131887	0.010506577	0.014138701	0.005373464	0.007701473	-0.000882747	-0.00782248	-0.010079024	0.012128155	0.01914221	0.011006555	-0.001690007	-0.005573272	0.001254023	0.000851752	-0.008548057	0.005402382	-0.017526368	-0.001840969	0.001713413	0.009758064	-0.009794706	-0.010896569	-0.003307798	-0.00434678	T2J	T2	J
T.T2J.3	0.43361813	0.14445211	0.117165713	-0.072015435	0.103148586	0.100118103	-0.153845532	0.032259355	-0.044035863	-0.008265806	-0.071742896	-0.024689013	0.018558887	-0.010460589	-0.009821839	0.008643016	-0.021483989	-0.01484233	0.022115064	-0.01787691	0.004655064	0.005447874	0.020768961	-0.000272782	-0.003696792	-0.001163503	-0.002814671	-0.013223308	-0.004148965	-0.01530608	-0.00701484	0.00660467	0.027062365	0.009771836	-0.002553185	-0.008568689	0.003922674	0.010324256	0.003657331	-0.013791902	0.001154379	-0.00199299	-0.017447308	0.008926844	0.001919441	-0.006686584	-0.012680616	0.002143532	0.00100387	0.006759099	T2J	T2	J
T.T2J.4	0.476296775	0.171801987	0.064000262	-0.018026585	0.045281315	0.02149794	0.008430856	-0.000849923	0.013696865	-0.042698391	0.032514322	-0.046292969	-0.049060123	-0.05309774	0.055342525	-0.041292731	0.022046265	0.045741278	8.84E-05	-0.015915292	-0.00667722	0.001379284	-0.012464368	-0.023061066	0.000705904	0.006486446	-0.014061192	0.01337542	-0.009358783	-0.006266083	0.000164097	-0.001554493	0.007893399	-0.013766583	-0.011844467	0.004009322	0.009774745	-0.002265295	8.07E-05	-0.001229754	0.009261253	-0.004537612	0.001536203	0.001447981	0.004649881	0.001764561	0.005319945	0.007968451	0.002098811	0.001633688	T2J	T2	J
T.T2ML.1	0.354013741	-0.061874717	-0.045831104	0.126732563	-0.033816947	-0.044471768	0.072318992	0.019662138	-0.090755257	0.010414203	-0.03716456	0.044629183	-0.005914703	-0.017022315	0.019331044	0.019254866	0.019107112	0.025811548	0.000896485	-0.008884847	-0.004030168	-0.016535467	-0.023449054	-0.017683095	-0.013905985	0.004724448	-0.035538487	0.008081821	0.011048476	-0.016152277	0.012727904	-0.001185013	-0.012458874	-0.01391686	0.026780315	-0.018154027	0.031663504	0.023622371	0.004191394	0.007069733	-0.00266219	-2.35E-05	0.01428234	0.018737372	0.018949061	0.001467087	-0.003220734	-0.004325615	-0.003261456	-0.000195278	T2ML	T2	ML
T.T2ML.2	0.375497494	-0.051997138	-0.05276101	0.118187947	-0.027567538	-0.032518031	0.013392958	-0.001775801	-0.057754738	0.025803464	-0.052812804	0.034533678	-0.015643259	-0.007683556	0.034270892	-0.01494015	0.046309554	0.015388805	-0.005983795	0.017828752	-0.02410803	0.01155544	0.041487182	-0.021662855	-0.007582806	-0.014549932	0.017173185	-0.02527608	-0.012130203	0.010621837	-0.015126182	-0.006194177	0.003410287	0.02225308	0.002398561	0.000832266	-0.02445103	-0.00480783	0.001246038	0.00679725	-0.00408226	0.002140522	0.012643319	-0.005897194	-0.023518632	0.006818735	0.017103292	-0.000178038	0.008381169	0.002035365	T2ML	T2	ML
T.T2ML.3	0.386284789	-0.046483982	-0.060293978	0.142198603	-0.042220798	-0.064328824	0.092689617	0.013815432	-0.062439621	-0.017899286	0.009036803	-0.027615384	-0.003057042	-0.00753036	-0.014784133	-0.018992997	-0.045829739	-0.02193134	-0.005143439	0.015493492	0.020439869	0.02597566	-0.003047554	-0.001710881	-0.00540645	0.012094357	0.016764651	-0.033913354	0.000480026	-0.001136885	-0.009353958	0.014229317	0.00384783	0.010347197	0.003320508	-0.013306713	-0.00602385	-0.00032493	-0.011449041	-0.015010695	-0.005811217	-0.007273085	-0.016384146	0.002329753	-0.000720278	-0.011787557	-0.014867142	0.008614894	0.003440978	-0.007489091	T2ML	T2	ML
T.T2ML.4	0.379604842	-0.014350089	-0.057751238	0.123615629	-0.006889032	-0.037415755	0.05400225	0.008775156	-0.058265792	0.03202522	-0.033114692	0.014898835	-0.005209904	0.006431412	0.028496012	-0.014966311	-0.017764372	-0.016843177	0.006036444	-0.024862095	0.026747498	-0.014722133	-0.028605178	0.05347663	0.01293707	0.000386526	0.00200093	0.03449511	0.017215399	-0.002187326	0.013720628	0.002975172	0.00162378	-0.008902232	-0.030090504	0.027400907	-0.004956998	-0.022155542	-0.005495731	0.001928738	0.010044155	0.000108202	-0.004114922	-0.024488132	-0.012901374	-0.011851106	-0.001039415	-0.006211565	-0.003755877	0.002736409	T2ML	T2	ML
T.T3CK.1	-0.096964359	-0.153537283	-0.125177744	0.000262449	0.013466737	0.045644942	-0.03848269	-0.07628359	-0.052743648	-0.023910944	0.00571563	1.45E-05	-0.005703863	-0.012920179	-0.048799574	0.024201706	-0.002117616	0.039654139	-0.03160697	-0.028814024	0.051262218	0.051639363	0.005327502	0.005397887	-0.017731539	-0.026316492	0.004418876	-0.003463766	-0.030437326	0.020030914	-0.020132155	-0.019062274	-0.009105306	0.000139498	-0.011308623	-0.003532828	0.022303816	0.007977368	-0.018301693	0.00179315	0.002392441	-0.008779385	-0.008491412	-0.010432875	0.007720032	0.001281771	0.00606753	-0.008527172	-0.001660182	0.001238229	T3CK	T3	CK
T.T3CK.2	-0.163509267	-0.124821756	-0.071357828	0.010255704	0.113840829	0.040352567	-0.000632841	-0.062761299	-0.021898058	-0.046295451	0.015658796	-0.006062695	-0.027426697	0.002568831	-0.055875055	-0.019819676	0.043001821	-0.050994333	0.008122757	0.009069199	0.018710594	-0.010427364	-0.000628558	-0.00868972	-0.028406447	-0.00457561	-0.022204411	0.012260103	0.022749729	-0.036040738	0.003525523	-0.002846235	-0.010206433	-0.004666459	0.00189668	-0.027311639	-0.008063843	-0.017908727	0.002361243	-0.028574796	0.021640721	-0.000863905	0.020267343	-0.007289226	-0.01385662	0.006677464	-0.001619729	0.003308038	0.001591582	0.000619984	T3CK	T3	CK
