	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	group	group1	group2
T.T3ML.1	-0.178764244	-0.049043191	-0.048732341	0.045615705	0.137166691	0.002214947	0.00804485	0.089793712	-0.005881993	0.031726782	0.060852851	0.029374057	0.029239181	0.046039354	-0.005868534	-0.014696101	0.000383067	0.006274186	-0.014172784	-0.003719344	0.002756403	-0.037730758	-0.003140935	-0.029983758	-0.012383307	-0.021806251	0.005201534	-0.012520862	-0.015544822	-0.007545107	3.88E-05	-0.01403101	0.027932328	-0.022393781	-0.004773147	-0.009775956	0.000222317	-0.023428228	-0.038296409	0.016597786	-0.003683493	0.024647478	-0.003090151	0.008883078	0.004644909	-0.010757804	-0.00149222	0.00029118	0.002492609	0.001275597	T3ML	T3	ML
T.T3ML.2	-0.161887682	-0.013033516	-0.06528075	0.050030105	0.107812446	0.002263755	0.010041809	0.033804359	-0.014105148	0.055645771	0.020488684	0.011615813	0.049308075	-0.016758328	-0.012876459	-0.033827899	0.008187589	0.008909426	0.008248348	0.044944882	-0.020960154	0.015700643	-0.005028992	0.029762897	-0.036085707	0.037842636	0.02637561	0.01557365	-0.012476879	0.020921838	0.032088503	-0.01767162	-0.011618682	-0.000399373	-0.001476624	-0.008491892	-0.01789283	0.009708781	0.002672954	-0.012961573	-0.02176784	-0.024602812	0.004348999	0.004448043	0.010103402	0.00376056	-0.00385022	-0.000120121	-0.001910842	0.004128969	T3ML	T3	ML
T.T3ML.3	-0.159385738	0.006865902	-0.078864205	0.046995218	0.131627349	-0.004208373	0.02149697	0.056116222	0.011273253	0.091910319	0.016430037	-0.021214035	0.026125814	0.005823502	-0.009580849	-0.01654766	-0.005401151	0.001340154	-0.000955657	0.002481132	-0.00253495	0.030231532	0.001496063	0.004583045	-0.009896127	-0.007338801	0.000502135	-0.004169222	-0.017599727	-0.001614945	-0.012208144	0.008604247	0.004014238	0.014769602	0.003490649	0.042086272	0.039436193	-0.006411877	0.032244995	-0.00106591	0.031466887	0.00636617	0.011833554	0.010223679	-0.007086695	0.009226092	-0.005040283	0.002206457	0.001125016	-0.00202241	T3ML	T3	ML
T.T3ML.4	-0.149592535	-0.026321637	-0.087864412	0.051641349	0.110847497	-0.004548318	0.012930463	0.031675301	-0.011837962	0.104555537	0.021362596	-0.036166506	0.015907101	0.001016856	0.008522886	0.008457452	-0.02813067	0.010553341	-0.00577024	-0.00828997	-0.012370204	-0.020262388	0.019557021	-0.005406408	0.036968978	-0.014170118	-0.029545017	0.006310381	0.020912402	-0.006688467	-0.026923834	0.016338033	-0.016972844	0.009230219	-0.002494841	-0.025069204	-0.016965011	0.026113884	-0.002570416	-0.007677811	0.003647354	-0.002074341	-0.019018876	-0.018634422	0.006153939	0.011166929	0.013862452	0.004897285	-0.006140495	-7.81E-05	T3ML	T3	ML
T.T4CK.1	-0.184851298	-0.043470035	0.083978549	0.041014141	0.050376096	0.005603862	0.03051321	-0.067399736	0.004153692	-0.02863758	-0.020181111	0.00041624	0.069357578	-0.010011404	0.004975276	0.049468889	-0.026974686	0.056240497	0.006996139	0.02246678	-0.038295802	0.021294872	-0.002917022	-0.036520323	-0.00852626	-0.008696781	-0.035807104	0.036746333	-0.006484447	-0.014194057	-0.004588855	0.00722197	0.030724497	-0.009059932	-0.013967058	0.014134714	-0.017721732	-0.012417576	0.004929283	-0.008771819	-0.011707918	-0.011175544	0.003251458	-0.008280917	-0.006301897	-0.007731772	-0.005031634	-0.002193837	0.001520331	-0.00319943	T4CK	T4	CK
T.T4CK.2	-0.185661354	-0.06347787	0.064853525	0.029727547	0.062662431	0.009138039	0.02843173	-0.079021501	-0.007852773	-0.027400491	-0.005416806	0.021822353	0.043293037	-0.011725215	0.056065952	-0.019949912	-0.003929608	-0.077877736	-0.027920804	0.012293923	0.010966715	0.006643459	0.015326578	-0.028974126	0.017498	-0.016839922	-0.024362697	-0.014141668	0.031406109	0.039739623	0.019938021	-0.025839675	0.003859098	0.003153168	-0.019446065	0.00085256	0.01243889	0.000781918	0.015447695	0.016481941	-0.001103039	-0.002056005	-0.012218926	0.004721365	0.009326062	0.003225766	-0.003730287	0.001798941	0.00126575	0.000832299	T4CK	T4	CK
T.T4CK.3	-0.16670825	-0.074488373	0.049549106	0.050460463	0.062850438	0.008030464	0.027933543	-0.061429944	0.018582678	-0.026716782	-0.00959163	-0.005011026	0.043609271	-0.043700405	0.029687839	0.042579703	-0.033072219	0.023029955	-0.002234247	-0.006813468	0.000557463	-0.035005606	0.014141672	0.018472496	0.014592055	0.003978907	0.052558392	-0.038844592	0.019777264	-0.020330915	-0.002953787	-0.006426729	-0.013312648	-0.027787954	0.031938663	0.005878924	0.021038822	-0.015690512	0.003544926	-0.013730136	-0.006145457	-0.002643324	-0.000858	0.000725846	-0.013988485	0.001858658	0.005512911	0.000790366	-0.001410786	0.001894758	T4CK	T4	CK
T.T4CK.4	-0.197317144	-0.057149135	0.097583876	0.04703668	0.083822545	-0.008810641	0.035245898	-0.077012547	0.042977605	-0.049464822	-0.057913811	-0.018266718	0.022570577	0.064981256	0.047967918	-0.052265723	-0.031825972	0.00080523	0.01222317	-0.02708005	0.015549869	-0.014385826	-0.013678109	0.010005119	-0.001435271	0.011688793	-0.00173774	0.014745917	-0.041771915	-0.013877744	-0.00953819	-0.001301334	-0.024555449	0.038652101	0.019184284	-0.002581536	-0.009807759	0.014902566	-0.009888303	0.006495342	-0.000486786	0.012947306	0.010404614	0.005120114	0.002903652	-0.004370862	-0.001657714	-0.001341289	0.000601918	0.000356969	T4CK	T4	CK
T.T4B.1	-0.227551377	0.146330188	0.080605672	0.025029121	-0.039288207	-0.011968955	-0.056710857	0.03410583	-0.041571843	-0.04594276	0.063356449	0.002766668	0.040384598	-0.040050714	-0.005374851	-0.00950675	0.033269653	0.019519901	0.000455047	-0.061366808	-0.025235672	0.007170225	-0.00692221	0.036898355	-0.00056082	0.018448297	-0.028359859	-0.00503564	0.01919603	0.025200112	-0.017348754	-0.031708952	-0.010422587	0.014964966	0.020344764	0.009296842	-0.007165903	-0.011184277	-0.00528243	-0.007957591	-0.004387507	0.017566033	0.002739671	-0.013361576	0.004189551	-0.002451961	-0.00427521	0.00724424	0.002356147	-0.001527944	T4B	T4	B
T.T4B.2	-0.223780825	0.133310962	0.077782143	-0.016867953	-0.084298132	-0.004301266	0.00360026	-0.034186166	-0.036105832	0.017748034	0.029415417	0.020767952	0.023997512	-0.011943106	-0.001398148	-0.019799069	0.024291737	-0.020400531	0.01884932	0.024604219	0.001095922	0.035231273	-0.020921202	0.034363921	0.058596968	-0.051107269	-0.012789365	-0.015989152	-0.027346333	-0.012193415	0.008754205	0.031373232	0.009138645	-0.019639556	0.022702436	0.001466321	-0.009665913	0.006634071	-0.016147991	0.006611936	0.000969473	-0.00929216	0.013781383	0.001106138	0.000425959	0.005565474	-0.006187491	0.00251984	0.00086764	0.002273443	T4B	T4	B
