gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTU_53	438.765755188176	2.96673844094586	0.260321985561117	11.3964190713709	4.35673000622642e-30	4.26088194608944e-27
OTU_59	75.4357023034757	3.03827660341271	0.287150522654919	10.5807803354199	3.65898029911082e-26	1.78924136626519e-23
OTU_44	96.0186086161993	1.94183765679828	0.23056969377709	8.42191193902357	3.7038942917907e-17	1.20746953912377e-14
OTU_96	180.73152693335	2.77611236205061	0.334589886795598	8.297059987789	1.06719498033286e-16	2.38848995335322e-14
OTU_141	144.617736259283	3.38564916574466	0.408843800638056	8.28103339334215	1.22110938310492e-16	2.38848995335322e-14
OTU_90	210.865108280059	5.00166014458244	0.620465245209732	8.06114473485418	7.55832740252388e-16	1.23200736661139e-13
OTU_149	46.9494781663255	2.91583796051639	0.387433052416186	7.52604338306211	5.2300969321487e-14	7.30719257091633e-12
OTU_6183	255.134914203222	2.73475685642268	0.375426640451009	7.28439743417607	3.23111183560975e-13	3.51114152802926e-11
OTU_6742	34.1353204351386	2.91399779589473	0.399456047090516	7.2949147149459	2.98848320734387e-13	3.51114152802926e-11
OTU_434	116.741376403399	2.87616265989057	0.40237909197441	7.14789291306789	8.81200100212754e-13	8.61813698008074e-11
OTU_265	81.6949787906107	2.2074201860475	0.316520847590076	6.97401198958722	3.08027814472307e-12	2.7386472959447e-10
OTU_315	35.1743900103773	3.84063857105843	0.56080774585079	6.84840500059762	7.46778995271268e-12	6.08624881146083e-10
OTU_70	406.072003307954	4.54379059485563	0.665481459363322	6.82782447343125	8.62119754498741e-12	6.48579322999822e-10
OTU_264	36.6890607616593	2.99021357971372	0.442664887420157	6.75502770762015	1.42807962404302e-11	9.97615623081482e-10
OTU_57	331.186229590588	2.98804402154211	0.449091766822217	6.65352661146645	2.86152046762554e-11	1.86571134489185e-09
OTU_43	138.532799205232	1.64698824834303	0.251699572651804	6.54346859230244	6.01081129897226e-11	3.67410840649679e-09
OTU_2260	40.1857743427707	2.12497785583828	0.342461575607771	6.20501103537545	5.46930647046858e-10	3.14645984006957e-08
OTU_52	82.254797820339	2.03499747927212	0.33294718926465	6.11207285986296	9.83452617621907e-10	5.34342588907903e-08
OTU_2	1163.82414428491	2.13660375634562	0.352349391056726	6.06387810104555	1.3287788029673e-09	6.839714048958e-08
OTU_72	326.478571696145	4.35399983157472	0.720493715596171	6.04307815228063	1.51201366814794e-09	7.39374683724341e-08
OTU_112	30.948725078091	-3.18403012911371	0.532501381116904	-5.97938379509048	2.23983275642796e-09	1.04312211227931e-07
OTU_128	39.7836897424317	2.75914419779841	0.4623255166879	5.96796866754169	2.40225483794266e-09	1.06791146886724e-07
OTU_4275	44.8562664749461	3.086070623149	0.525406232349816	5.87368484257776	4.26213301280599e-09	1.8123330810975e-07
OTU_46	179.777599935827	2.31314000505962	0.394598335505631	5.86201156194844	4.57293174907903e-09	1.8634696877497e-07
OTU_2606	28.3524680308049	3.20029983075257	0.549442472406805	5.82463131532919	5.72388173681656e-09	2.23918253544264e-07
OTU_2315	61.0073914943651	2.4358270430304	0.421568320754696	5.77801253820439	7.55881768848634e-09	2.84327834589986e-07
OTU_6049	51.9291902453999	2.77212384744382	0.485733608199562	5.70708676659019	1.14926204551706e-08	4.16288252042847e-07
OTU_178	56.8448190225795	3.18681824778254	0.56565843625168	5.63382077159478	1.76260204204983e-08	6.15651713258835e-07
OTU_409	31.102942695925	3.2183297452294	0.571944653147366	5.62699507289593	1.83375963339494e-08	6.1841962808974e-07
OTU_3833	40.4713684471204	2.68580936946655	0.478340939711399	5.61484319340719	1.96740576859662e-08	6.41374280562499e-07
OTU_231	24.2570494858498	2.29352333543697	0.409340339132255	5.6029741420035	2.10704668495628e-08	6.64739244479756e-07
OTU_5854	69.8610189438981	2.13456933526096	0.386126036655568	5.52816731487349	3.23593364494788e-08	9.88982220237195e-07
OTU_15	98.5904387043269	2.00115654773716	0.364689651255737	5.48728635662286	4.08155195166085e-08	1.20962357840131e-06
OTU_5295	66.9785369200579	2.41246332928406	0.440096535085702	5.48166853623209	4.2133307778433e-08	1.21195220609728e-06
OTU_2446	340.659357603831	2.52542443565853	0.461197236021349	5.47580132406002	4.35536135777054e-08	1.21701240225702e-06
OTU_2243	60.7449409047985	2.39101844480466	0.43811165284652	5.45755500742704	4.82735626071521e-08	1.24240905867881e-06
OTU_5420	444.025636667194	2.59041946637278	0.473878806209984	5.46641764186627	4.59221639519194e-08	1.24240905867881e-06
OTU_6811	20.6789351020829	2.2937965981978	0.420061719898945	5.46061802239352	4.74479937530929e-08	1.24240905867881e-06
OTU_11	362.575317181733	1.7786763712328	0.327781554282976	5.42640776453593	5.74995167792944e-08	1.44191095923461e-06
OTU_33	60.4122854875968	1.64791692908063	0.304692988184792	5.4084504500681	6.35723698284854e-08	1.52180959248308e-06
OTU_1603	65.9095777751553	-2.11692338804237	0.391456217882949	-5.40781648453816	6.37977436521536e-08	1.52180959248308e-06
OTU_3	330.454344163394	1.85811526161387	0.344315655979091	5.39654595818525	6.79360161249169e-08	1.58193866119449e-06
OTU_4	197.032441815435	2.50462710613441	0.465644816682863	5.37883600632936	7.49689581751123e-08	1.7051079324479e-06
OTU_49	75.2019345016623	2.12012729492473	0.394924052780487	5.36844307151677	7.94192511982434e-08	1.76527335617914e-06
OTU_1	679.40394295058	2.10038041038247	0.392849356051339	5.34652883612716	8.96570027856462e-08	1.94854552720804e-06
OTU_535	73.1161541491754	1.47960381404597	0.279986040862198	5.28456279280794	1.26005323987741e-07	2.67898275782633e-06
