	ENV
T.T3CK.1	44.8139315
T.T3CK.2	45.23711132
T.T3CK.3	42.73095196
T.T3CK.4	46.09024192
T.T3B.1	83.48626576
T.T3B.2	78.61976958
T.T3B.3	94.77
T.T3B.4	68.73928248
T.T3J.1	98.49292481
T.T3J.2	84.17340586
T.T3J.3	105.3833117
T.T3J.4	103.8980868
T.T3ML.1	43.97422453
T.T3ML.2	47.97048607
T.T3ML.3	43.41927374
T.T3ML.4	36.66155322
